State,age,Tried Cigarette?,# Smoke past 30d?,# fruit juice yest.
AL,13,49,46,0
AL,14,378,356,0
AL,15,935,853,0
AL,16,1073,968,0
AL,17,821,744,0
AL,18,459,407,0
AL,<= 12,23,20,0
AR,13,1,1,0
AR,14,107,100,0
AR,15,506,465,0
AR,16,637,587,0
AR,17,476,435,0
AR,18,258,228,0
AR,<= 12,1,1,0
HI,13,3,3,0
HI,14,181,164,0
HI,15,353,332,0
HI,16,384,361,0
HI,17,318,303,0
HI,18,160,152,0
IA,13,3,3,0
IA,14,101,98,0
IA,15,447,421,0
IA,16,449,425,0
IA,17,328,313,0
IA,18,189,178,0
KY,13,1,0,0
KY,14,144,137,0
KY,15,372,357,0
KY,16,343,323,0
KY,17,373,357,0
KY,18,224,210,0
LA,13,4,4,0
LA,14,655,597,0
LA,15,1484,1306,0
LA,16,1491,1299,0
LA,17,1200,1034,0
LA,18,666,569,0
LA,<= 12,8,7,0
ME,14,126,117,0
ME,15,451,441,0
ME,16,421,391,0
ME,17,434,406,0
ME,18,364,352,0
ME,<= 12,2,2,0
MI,13,7,6,0
MI,14,457,393,0
MI,15,1034,906,0
MI,16,984,876,0
MI,17,871,760,0
MI,18,519,460,0
MI,<= 12,6,6,0
MO,14,105,100,0
MO,15,352,320,0
MO,16,429,396,0
MO,17,380,358,0
MO,18,205,180,0
MO,<= 12,5,4,0
MS,13,2,1,0
MS,14,112,107,0
MS,15,393,342,0
MS,16,408,365,0
MS,17,372,315,0
MS,18,234,200,0
MS,<= 12,1,1,0
MT,13,2,0,0
MT,14,220,210,0
MT,15,669,645,0
MT,16,627,581,0
MT,17,611,579,0
MT,18,304,288,0
MT,<= 12,3,3,0
NV,13,2,2,0
NV,14,148,140,0
NV,15,364,342,0
NV,16,406,378,0
NV,17,358,339,0
NV,18,181,170,0
NV,<= 12,1,1,0
NY,13,7,7,0
NY,14,477,454,0
NY,15,957,896,0
NY,16,950,863,0
NY,17,879,814,0
NY,18,443,397,0
NY,<= 12,4,2,0
RI,13,3,3,0
RI,14,165,158,0
RI,15,405,384,0
RI,16,400,363,0
RI,17,341,302,0
RI,18,197,177,0
RI,<= 12,4,3,0
SC,13,2,2,0
SC,14,677,609,0
SC,15,1461,1281,0
SC,16,1441,1271,0
SC,17,1202,1068,0
SC,18,652,549,0
SC,<= 12,6,5,0
SD,13,1,1,0
SD,14,87,84,0
SD,15,428,400,0
SD,16,380,355,0
SD,17,396,365,0
SD,18,305,264,0
SD,<= 12,3,2,0
UT,13,6,5,0
UT,14,139,127,0
UT,15,358,336,0
UT,16,401,375,0
UT,17,308,294,0
UT,18,164,155,0
UT,<= 12,1,0,0
WI,13,1,0,0
WI,14,165,0,0
WI,15,403,0,0
WI,16,302,0,0
WI,17,277,0,0
WI,18,169,0,0
WV,13,1,1,0
WV,14,124,115,0
WV,15,385,365,0
WV,16,518,493,0
WV,17,492,465,0
WV,18,291,267,0
WV,<= 12,4,4,0
WY,13,1,1,0
WY,14,129,122,0
WY,15,452,427,0
WY,16,578,536,0
WY,17,526,487,0
WY,18,359,330,0
WY,<= 12,2,3,0
